299
SALVANA-TENESIJA 0:102
VIDUKLE-UDMRTIJA 0:105
SIDNEJA-DETROITA 0:107
GAMBIJA-KARLAILA 0:11
PORTSMUTA-VANAGI 0:114
ALABAMA-MISISIPI 0:116
TAIZEME-FRANCIJA 0:117
VIDAUJA-HIROSIMA 0:118
HERSONA-AUSTRIJA 0:118
BENGAZI-OZOLAINE 0:12
SIESIKI-LEIPCIGA 0:128
BENGAZI-TENERIFE 0:133
SEVERNA-KATOVICE 0:136
MILVOKI-BEREZINA 0:14
SERBIJA-SAULAINE 0:140
GOTLANDE-HUDZONA 0:140
ARTJOMA-TENESIJA 0:145
LATVIJA-JAKUTIJA 0:145
AIZVOLGA-METELIS 0:148
CARNIKAVA-DRUSTI 0:150
VESTENDE-ARTJOMA 0:2
GARKALNE-TOBRUKA 0:23
PUIKULE-TENERIFE 0:26
HAVANNA-ARMAVIRA 0:30
PASIENA-BRRONKSA 0:31
FLORENCE-BRUNEJA 0:33
SILMALA-OZOLAINE 0:36
KANTONA-RUDAMINA 0:39
PAROGLE-BRRONKSA 0:4
DAMASKA-LUISVILA 0:40
ILMENIS-TUNISIJA 0:40
KAZBEKS-DOMINIKA 0:41
ARKTIKA-FRANCIJA 0:46
ALABAMA-DOMINIKA 0:48
ABAKANA-PIEVOLGA 0:49
GAIGALAVA-DRUSTI 0:50
DUBLINA-OZOLAINE 0:51
OREGONA-DETROITA 0:54
VIDAUJA-SAULAINE 0:54
SALVANA-KRIEVIJA 0:55
ULBROKA-SAULAINE 0:58
POLOCKA-AUSTRIJA 0:6
PERLOJA-KARLAILA 0:60
SERBIJA-NIKOSINA 0:61
LAZDONA-JAUNPILS 0:61
AMAZONE-BEREZINA 0:64
RAUDONE-JITLANDE 0:65
GARONNA-BAIREITA 0:66
TOTNEMA-KARLAILA 0:73
AMAZONE-AUSTRIJA 0:77
FLORENCE-PENKULE 0:78
PILTENE-TENESIJA 0:79
PAKROJA-TELAVIVA 0:81
MENORKA-ILINOISA 0:83
SIESIKI-IGNALINA 0:83
TALLINA-ETIOPIJA 0:85
KRIMULDA-KAZBEKS 0:88
VESTENDE-TURCIJA 0:89
ORINOKO-BEREZINA 0:90
MINDANAO-HARBINA 0:92
TALLINA-KRIMULDA 0:93
MINDANAO-SAIGONA 0:99
PUIKULE-AUSTRIJA 1:10
DOTMUNDA-GORKIJA 1:104
LAPZEME-KATOVICE 1:11
MIRNIJA-ROZALIMA 1:112
BRATSKA-TENESIJA 1:113
KAMBIJA-KRIEVIJA 1:116
ANGLIJA-OZOLAINE 1:119
ARAGONA-IGNALINA 1:12
VIDZEME-BRUKLINA 1:121
PEDEDZE-KARLAILA 1:121
JITLANDE-INDRAJI 1:129
PILZENE-BRAZILJA 1:132
ARKTIKA-MANHEIMA 1:142
HAVANNA-IGAUNIJA 1:143
MEKSIKA-NIKOSINA 1:149
GORKIJA-TUNISIJA 1:15
BRATSKA-MELNSILS 1:17
HARBINA-TENERIFE 1:24
HAIFONA-UDMRTIJA 1:25
DEMOINA-BRUKLINA 1:26
KATMANDU-LIVORNA 1:26
HERSONA-OZOLAINE 1:28
ILMENIS-NIKOSINA 1:33
LUCERNA-ETIOPIJA 1:37
KORSIKA-IGNALINA 1:4
BRISELE-KATOVICE 1:40
MEKSIKA-IGNALINA 1:44
VIDUKLE-NIKOSINA 1:45
HAVANNA-BEREZINA 1:45
DAMASKA-MELNSILS 1:46
TEBRIZA-ROZALIMA 1:48
PILTENE-UZBEKIJA 1:50
OGLAINE-SAULAINE 1:53
SAIGONA-BEREZINA 1:54
FLORENCE-LATVIJA 1:55
JITLANDE-SIESIKI 1:57
TRAPENE-KRIMULDA 1:6
SIDNEJA-SAULAINE 1:61
LUCERNA-KRIMULDA 1:61
FLORENCE-KANTONA 1:62
ISIKULS-SALONIKI 1:64
MAUNALOA-ZEMGALE 1:65
PERLOJA-TENERIFE 1:68
KAMBIJA-KATOVICE 1:69
KAZBEKS-GROZNIJA 1:73
DOTMUNDA-KURZEME 1:74
