51
TAURUPE-RIODEORO 0:111
NIAGARA-RIODEORO 0:30
SUMATRA-ALEKSOTA 0:71
HONIARA-ALEKSOTA 1:69
VARDURA-RIODEORO 1:71
OLSTERA-GLAZGOVA 1:98
MADEIRA-KEMEROVA 102:106
DENVERA-RIODEORO 102:58
HONIARA-SARAGOSA 103:23
MELNUPE-MINESOTA 105:100
VARDURA-GLAZGOVA 106:105
ANADIRA-RIODEORO 106:76
VARDURA-ALEKSOTA 107:103
MIASURA-GLAZGOVA 11:4
TAURUPE-LABANOVA 110:28
LIELUPE-ALEKSOTA 111:8
TAURUPE-SARAGOSA 112:126
ANADIRA-KEMEROVA 112:69
KANBERA-MINESOTA 115:130
VARDURA-SARAGOSA 115:149
KANBERA-GLAZGOVA 115:68
HOPJORA-SARAGOSA 116:47
MERGUPE-SARAGOSA 117:79
MAIKOPA-SARAGOSA 118:62
HOPJORA-LABANOVA 119:136
OLSTERA-MINESOTA 121:78
MADEIRA-LABANOVA 123:76
IZMAIRA-GLAZGOVA 124:109
HOPJORA-RIODEORO 125:110
NIAGARA-LABANOVA 126:33
MERGUPE-MINESOTA 126:34
IZMAIRA-LABANOVA 127:106
MELNUPE-ALEKSOTA 127:136
HOPJORA-KEMEROVA 127:62
MADEIRA-GLAZGOVA 128:103
TAIMIRA-MINESOTA 128:96
TAIMIRA-ALEKSOTA 13:104
TAURUPE-MINESOTA 13:29
LIELUPE-LABANOVA 132:42
SUMATRA-KEMEROVA 133:122
LIELUPE-GLAZGOVA 135:26
ANADIRA-MINESOTA 137:120
MELNUPE-RIODEORO 137:79
IZMAIRA-RIODEORO 14:19
MELNUPE-SARAGOSA 141:106
SUMATRA-MINESOTA 142:51
VARDURA-LABANOVA 143:16
TAURUPE-ALEKSOTA 145:2
HONIARA-RIODEORO 146:42
HONIARA-MINESOTA 146:52
HONIARA-KEMEROVA 149:41
MIASURA-KEMEROVA 15:133
LIELUPE-SARAGOSA 15:50
IZMAIRA-MINESOTA 16:97
MERGUPE-ALEKSOTA 18:133
ANADIRA-GLAZGOVA 2:98
