300
BANDARSERIBEGAVA-AIZKARPATI 89:123
ALEKSOTA-BANDARSERIBEGAVA 19:6
AMSTERDAMA-BANDARSERIBEGAVA 64:46
BANDARSERIBEGAVA-AMUDARJA 40:90
BANDARSERIBEGAVA-ANADIRA 14:50
ANTVERPENE-BANDARSERIBEGAVA 36:32
BANDARSERIBEGAVA-AVINJONA 6:72
BANDARSERIBEGAVA-BALATONS 3:95
BALTKRIEVIJA-BANDARSERIBEGAVA 132:100
BANDARSERIBEGAVA-BELGORODA 46:56
BANDARSERIBEGAVA-BELOMORSKA 24:72
BENDERI-BANDARSERIBEGAVA 142:53
BANDARSERIBEGAVA-BOSFORS 91:121
BRAMAPUTRA-BANDARSERIBEGAVA 141:94
BREDFORDA-BANDARSERIBEGAVA 137:114
BANDARSERIBEGAVA-CIECERE 1:64
DENKERKA-BANDARSERIBEGAVA 148:40
DENVERA-BANDARSERIBEGAVA 145:29
BANDARSERIBEGAVA-DIMITROVGRADA 73:132
DINKERSA-BANDARSERIBEGAVA 73:50
EIPATORIJA-BANDARSERIBEGAVA 27:7
EKVADORA-BANDARSERIBEGAVA 29:19
FLANDRIJA-BANDARSERIBEGAVA 149:81
GABORONE-BANDARSERIBEGAVA 79:75
BANDARSERIBEGAVA-GLAZGOVA 46:140
HAIDARABADA-BANDARSERIBEGAVA 103:14
HAMBERSAIDA-BANDARSERIBEGAVA 147:70
BANDARSERIBEGAVA-HAMBURGA 3:145
BANDARSERIBEGAVA-HONDURASA 54:131
HONIARA-BANDARSERIBEGAVA 94:85
BANDARSERIBEGAVA-HOPJORA 144:148
IZMAIRA-BANDARSERIBEGAVA 87:72
INSBURGA-BANDARSERIBEGAVA 150:105
BANDARSERIBEGAVA-JURBARKA 97:103
BANDARSERIBEGAVA-KALABRIJA 18:138
KALIFORNIJA-BANDARSERIBEGAVA 86:3
BANDARSERIBEGAVA-KALVARIJA 73:92
KANBERA-BANDARSERIBEGAVA 149:44
KANGARI-BANDARSERIBEGAVA 147:79
KARAKORUMS-BANDARSERIBEGAVA 96:18
BANDARSERIBEGAVA-KATALONIJA 58:78
BANDARSERIBEGAVA-KATVARI 112:129
BANDARSERIBEGAVA-KAUGURCIEMS 6:55
BANDARSERIBEGAVA-KEMEROVA 34:104
BANDARSERIBEGAVA-KENTERBERIJA 13:58
BANDARSERIBEGAVA-KZILORDA 42:120
BANDARSERIBEGAVA-KONAKRI 35:144
KOSTARIKA-BANDARSERIBEGAVA 138:87
BANDARSERIBEGAVA-KRASNOVODSKA 35:58
BANDARSERIBEGAVA-KRUSTPILS 70:100
BANDARSERIBEGAVA-LABANOVA 14:122
BANDARSERIBEGAVA-LAUDERI 40:98
LAUTERE-BANDARSERIBEGAVA 73:61
LIELUPE-BANDARSERIBEGAVA 136:131
BANDARSERIBEGAVA-LISABONA 80:82
BANDARSERIBEGAVA-LOMBARDIJA 33:148
BANDARSERIBEGAVA-MADEIRA 44:60
MAIKOPA-BANDARSERIBEGAVA 132:77
BANDARSERIBEGAVA-MALJORKA 12:23
MELBURNA-BANDARSERIBEGAVA 147:84
MELITOPOLE-BANDARSERIBEGAVA 128:72
BANDARSERIBEGAVA-MELNUPE 18:128
ZEMMERINGS-BANDARSERIBEGAVA 120:89
MERGUPE-BANDARSERIBEGAVA 127:22
MIASURA-BANDARSERIBEGAVA 47:8
BANDARSERIBEGAVA-MINEAPOLISA 101:148
BANDARSERIBEGAVA-MINESOTA 9:86
ZVIEDRIJA-BANDARSERIBEGAVA 71:69
NIAGARA-BANDARSERIBEGAVA 63:27
BANDARSERIBEGAVA-NOVGORODA 71:130
NOVOMOSKOVSKA-BANDARSERIBEGAVA 63:40
BANDARSERIBEGAVA-OKSFORDA 78:81
BANDARSERIBEGAVA-OLSTERA 148:149
BANDARSERIBEGAVA-PALEMONA 88:99
PATAGONIJA-BANDARSERIBEGAVA 142:89
BANDARSERIBEGAVA-PELOPONESA 96:117
BANDARSERIBEGAVA-PEREKOPS 9:145
PETROPAVLOVSKA-BANDARSERIBEGAVA 20:0
PORTMORSBI-BANDARSERIBEGAVA 138:59
BANDARSERIBEGAVA-PORTOPRENSA 4:13
BANDARSERIBEGAVA-PORTORIKO 91:141
BANDARSERIBEGAVA-PORTPRENSA 82:87
BANDARSERIBEGAVA-PRETORIJA 71:127
PUERTORIKO-BANDARSERIBEGAVA 125:57
BANDARSERIBEGAVA-RAVALPINDI 41:90
REINJORA-BANDARSERIBEGAVA 117:9
RIODEORO-BANDARSERIBEGAVA 131:13
BANDARSERIBEGAVA-SALASPILS 83:150
