300
BANDARSERIBEGAVA-ABADANA 92:105
ABAKANA-BANDARSERIBEGAVA 106:1
AIDAHO-BANDARSERIBEGAVA 79:56
BANDARSERIBEGAVA-AIZKARPATI 39:70
BANDARSERIBEGAVA-ALEKSOTA 69:142
ALUKSNE-BANDARSERIBEGAVA 121:3
BANDARSERIBEGAVA-AMAZONE 19:107
BANDARSERIBEGAVA-AMSTERDAMA 126:149
AMUDARJA-BANDARSERIBEGAVA 72:0
BANDARSERIBEGAVA-ANADIRA 50:144
BANDARSERIBEGAVA-ANTVERPENE 29:140
ARAGONA-BANDARSERIBEGAVA 114:36
BANDARSERIBEGAVA-ARIZONA 17:40
ARTJOMONSKA-BANDARSERIBEGAVA 81:10
AVINJONA-BANDARSERIBEGAVA 138:43
BANDARSERIBEGAVA-BABRUNGA 23:138
BALATONS-BANDARSERIBEGAVA 129:125
BALDONE-BANDARSERIBEGAVA 98:94
BANDARSERIBEGAVA-BALTEZERS 12:27
BALTIMORA-BANDARSERIBEGAVA 132:42
BALTKRIEVIJA-BANDARSERIBEGAVA 115:28
BAMAKO-BANDARSERIBEGAVA 48:18
BANDUNGA-BANDARSERIBEGAVA 108:48
BANGKOKA-BANDARSERIBEGAVA 143:118
BANDARSERIBEGAVA-BASUTOLENDA 42:67
BEBRENE-BANDARSERIBEGAVA 91:26
BELGORODA-BANDARSERIBEGAVA 97:41
BANDARSERIBEGAVA-BELMANTA 11:70
BANDARSERIBEGAVA-BELOMORSKA 43:68
BENDERI-BANDARSERIBEGAVA 77:49
BANDARSERIBEGAVA-BENGAZI 67:87
BERGENA-BANDARSERIBEGAVA 138:69
BILBAO-BANDARSERIBEGAVA 90:42
BANDARSERIBEGAVA-BIRMINGEMA 14:135
BANDARSERIBEGAVA-BORNEO 128:139
BORNHOLMA-BANDARSERIBEGAVA 73:47
BANDARSERIBEGAVA-BOSFORS 79:92
BOSTONA-BANDARSERIBEGAVA 15:14
BRAITONA-BANDARSERIBEGAVA 132:19
BRAMAPUTRA-BANDARSERIBEGAVA 111:93
BANDARSERIBEGAVA-BREDFORDA 15:93
BANDARSERIBEGAVA-BRISTOLE 17:134
BANDARSERIBEGAVA-BUFALO 18:101
BANDARSERIBEGAVA-BURGUNDIJA 38:85
BANDARSERIBEGAVA-CEILONA 80:110
BANDARSERIBEGAVA-CIECERE 92:138
BANDARSERIBEGAVA-CINCINATI 63:140
CINDAO-BANDARSERIBEGAVA 44:34
BANDARSERIBEGAVA-DAIVANA 8:88
BANDARSERIBEGAVA-DEMOINA 75:79
BANDARSERIBEGAVA-DENKERKA 36:114
BANDARSERIBEGAVA-DENVERA 103:106
DIMITROVGRADA-BANDARSERIBEGAVA 108:3
DINKERSA-BANDARSERIBEGAVA 73:63
BANDARSERIBEGAVA-DOTMUNDA 19:54
BANDARSERIBEGAVA-DUBLINA 4:23
BANDARSERIBEGAVA-DURBANA 107:117
EGLAINE-BANDARSERIBEGAVA 41:14
BANDARSERIBEGAVA-EIPATORIJA 1:91
EKVADORA-BANDARSERIBEGAVA 60:17
FERMENTA-BANDARSERIBEGAVA 147:11
BANDARSERIBEGAVA-FLANDRIJA 38:132
FLORENCE-BANDARSERIBEGAVA 87:79
GABORONE-BANDARSERIBEGAVA 45:10
GALIPOLE-BANDARSERIBEGAVA 95:73
BANDARSERIBEGAVA-GARONNA 74:116
BANDARSERIBEGAVA-GLAZGOVA 4:118
GOTLANDE-BANDARSERIBEGAVA 143:94
GUBERNIJA-BANDARSERIBEGAVA 60:32
BANDARSERIBEGAVA-GULBENE 69:74
HAIDARABADA-BANDARSERIBEGAVA 116:65
BANDARSERIBEGAVA-HAIFONA 103:118
BANDARSERIBEGAVA-HAMBERSAIDA 49:81
BANDARSERIBEGAVA-HAMBURGA 100:114
HARBINA-BANDARSERIBEGAVA 122:76
BANDARSERIBEGAVA-HAVANNA 95:120
BANDARSERIBEGAVA-HELSINKI 43:54
HERSONA-BANDARSERIBEGAVA 116:103
HONDURASA-BANDARSERIBEGAVA 61:51
BANDARSERIBEGAVA-HONIARA 25:113
BANDARSERIBEGAVA-HONKONGA 18:28
BANDARSERIBEGAVA-HOPJORA 131:138
BANDARSERIBEGAVA-HUDZONA 102:145
IZMAIRA-BANDARSERIBEGAVA 132:103
BANDARSERIBEGAVA-INSBURGA 34:104
INVERNESA-BANDARSERIBEGAVA 111:35
JANOPOLE-BANDARSERIBEGAVA 107:12
BANDARSERIBEGAVA-JITLANDE 19:80
BANDARSERIBEGAVA-JOHANNESBURGA 53:78
BANDARSERIBEGAVA-JOKOHOMA 4:8
BANDARSERIBEGAVA-JURBARKA 24:46
KAJENNA-BANDARSERIBEGAVA 118:80
KALABRIJA-BANDARSERIBEGAVA 45:10
BANDARSERIBEGAVA-KALIFORNIJA 21:39
KALJAO-BANDARSERIBEGAVA 82:0
KALTENE-BANDARSERIBEGAVA 83:23
KALVARIJA-BANDARSERIBEGAVA 108:27
KALVENE-BANDARSERIBEGAVA 141:17
KAZDANGA-BANDARSERIBEGAVA 52:17
KANBERA-BANDARSERIBEGAVA 142:5
BANDARSERIBEGAVA-KANGARI 27:141
KANTONA-BANDARSERIBEGAVA 101:50
BANDARSERIBEGAVA-KAPZEME 65:126
KARAKORUMS-BANDARSERIBEGAVA 49:19
BANDARSERIBEGAVA-KARTENA 50:60
BANDARSERIBEGAVA-KATALONIJA 2:135
KATMANDU-BANDARSERIBEGAVA 89:0
KATVARI-BANDARSERIBEGAVA 67:57
KAUGURCIEMS-BANDARSERIBEGAVA 12:8
BANDARSERIBEGAVA-KEMEROVA 36:59
BANDARSERIBEGAVA-KENSINGTONA 22:80
KENTERBERIJA-BANDARSERIBEGAVA 67:41
BANDARSERIBEGAVA-KILKENIJA 90:148
BANDARSERIBEGAVA-KIROVOBADA 26:135
BANDARSERIBEGAVA-KIROVOGRADA 14:72
KZILORDA-BANDARSERIBEGAVA 122:107
BANDARSERIBEGAVA-KONAKRI 47:109
KORNVOLA-BANDARSERIBEGAVA 131:10
KOSTARIKA-BANDARSERIBEGAVA 78:58
KOSTROMA-BANDARSERIBEGAVA 130:78
BANDARSERIBEGAVA-KRAMAMTORSKA 60:108
KRASNODARA-BANDARSERIBEGAVA 132:46
BANDARSERIBEGAVA-KRASNODONA 40:100
KRASNOJARSKA-BANDARSERIBEGAVA 74:34
KRASNOKAMSKA-BANDARSERIBEGAVA 13:4
BANDARSERIBEGAVA-KRASNOVODSKA 23:60
BANDARSERIBEGAVA-KRETINGA 81:82
KROIDONA-BANDARSERIBEGAVA 112:35
KRUSTPILS-BANDARSERIBEGAVA 132:97
BANDARSERIBEGAVA-KUNLUNS 50:57
KURZEME-BANDARSERIBEGAVA 89:88
BANDARSERIBEGAVA-KUSTANAJA 66:71
BANDARSERIBEGAVA-LABANOVA 71:134
BANDARSERIBEGAVA-LAZDONA 8:49
BANDARSERIBEGAVA-LAUDERI 5:137
LAUTERE-BANDARSERIBEGAVA 133:129
BANDARSERIBEGAVA-LIELUPE 4:131
LISABONA-BANDARSERIBEGAVA 116:115
LITLROKA-BANDARSERIBEGAVA 18:14
LIVORNA-BANDARSERIBEGAVA 94:31
BANDARSERIBEGAVA-LOKARNA 90:144
LOZANNA-BANDARSERIBEGAVA 132:8
BANDARSERIBEGAVA-LOMBARDIJA 30:140
BANDARSERIBEGAVA-LONDONA 128:147
LONDONDERIJA-BANDARSERIBEGAVA 139:138
LOTRINGA-BANDARSERIBEGAVA 94:14
LUCERNA-BANDARSERIBEGAVA 106:2
MADEIRA-BANDARSERIBEGAVA 81:5
BANDARSERIBEGAVA-MAIKOPA 22:81
MAKENZI-BANDARSERIBEGAVA 93:77
MALABO-BANDARSERIBEGAVA 114:97
MALAIZIJA-BANDARSERIBEGAVA 106:77
BANDARSERIBEGAVA-MALJORKA 118:134
BANDARSERIBEGAVA-ZAMBEZI 12:43
MANITOBA-BANDARSERIBEGAVA 101:73
MARIAMPOLE-BANDARSERIBEGAVA 44:19
MARIANNAS-BANDARSERIBEGAVA 130:23
BANDARSERIBEGAVA-MARIENBURGA 48:65
MARTINIKA-BANDARSERIBEGAVA 52:19
BANDARSERIBEGAVA-MBABANE 45:51
BANDARSERIBEGAVA-MEHIKO 120:133
BANDARSERIBEGAVA-MEISENE 55:94
MELBURNA-BANDARSERIBEGAVA 149:38
MELITOPOLE-BANDARSERIBEGAVA 120:25
MELNUPE-BANDARSERIBEGAVA 94:91
ZEMMERINGS-BANDARSERIBEGAVA 52:28
BANDARSERIBEGAVA-ZENTENE 6:9
BANDARSERIBEGAVA-MERGUPE 86:149
BANDARSERIBEGAVA-MIASURA 11:18
BANDARSERIBEGAVA-MINDANAO 135:141
MINEAPOLISA-BANDARSERIBEGAVA 96:55
BANDARSERIBEGAVA-MINESOTA 18:122
MINHENE-BANDARSERIBEGAVA 48:40
BANDARSERIBEGAVA-MONAKO 1:80
MONTGOMERIJA-BANDARSERIBEGAVA 130:2
MUKDENA-BANDARSERIBEGAVA 69:52
BANDARSERIBEGAVA-MURMANSKA 42:44
ZVIEDRIJA-BANDARSERIBEGAVA 99:19
BANDARSERIBEGAVA-NANKINA 5:73
BANDARSERIBEGAVA-NAROFOMINSKA 58:69
BANDARSERIBEGAVA-NAUJAMIESTE 31:89
NIAGARA-BANDARSERIBEGAVA 119:64
BANDARSERIBEGAVA-NIKOPOLE 28:120
NORMANDIJA-BANDARSERIBEGAVA 47:40
NOVGORODA-BANDARSERIBEGAVA 145:115
BANDARSERIBEGAVA-NOVOMOSKOVSKA 86:146
OGLAINE-BANDARSERIBEGAVA 97:5
BANDARSERIBEGAVA-OKLAHOMA 21:91
BANDARSERIBEGAVA-OKLAKOMSITIJA 90:130
OKSFORDA-BANDARSERIBEGAVA 97:47
OLSTERA-BANDARSERIBEGAVA 132:99
BANDARSERIBEGAVA-OREGONA 95:122
BANDARSERIBEGAVA-OREHOZUJEVA 135:144
BANDARSERIBEGAVA-PALEMONA 38:91
PALERMO-BANDARSERIBEGAVA 119:49
PASIENA-BANDARSERIBEGAVA 134:76
BANDARSERIBEGAVA-PATAGONIJA 9:122
PEDEDZE-BANDARSERIBEGAVA 61:56
BANDARSERIBEGAVA-PELOPONESA 58:105
PEREKOPS-BANDARSERIBEGAVA 126:67
BANDARSERIBEGAVA-PETROPAVLOVSKA 46:119
BANDARSERIBEGAVA-PILZENE 89:125
PILTENE-BANDARSERIBEGAVA 89:7
PLATONE-BANDARSERIBEGAVA 42:29
POCIEMS-BANDARSERIBEGAVA 77:35
PORTMORSBI-BANDARSERIBEGAVA 143:9
PORTONOVA-BANDARSERIBEGAVA 111:29
PORTOPRENSA-BANDARSERIBEGAVA 66:13
BANDARSERIBEGAVA-PORTORIKO 2:121
BANDARSERIBEGAVA-PORTPRENSA 42:56
BANDARSERIBEGAVA-PORTSMUTA 1:73
PRETORIJA-BANDARSERIBEGAVA 135:108
BANDARSERIBEGAVA-PUERTORIKO 60:120
BANDARSERIBEGAVA-PUMPENI 23:34
BANDARSERIBEGAVA-RADOPOLE 35:109
RANGUNA-BANDARSERIBEGAVA 42:29
BANDARSERIBEGAVA-RAUDONE 77:93
BANDARSERIBEGAVA-RAVALPINDI 124:129
RAVENNA-BANDARSERIBEGAVA 62:19
BANDARSERIBEGAVA-REINJORA 27:57
BANDARSERIBEGAVA-RIETUMINDIJA 16:21
BANDARSERIBEGAVA-RIETUMSOMOA 73:149
BANDARSERIBEGAVA-RIODEORO 26:132
BANDARSERIBEGAVA-SAIGONA 86:122
BANDARSERIBEGAVA-SALASPILS 22:28
BANDARSERIBEGAVA-SALIENA 16:69
BANDARSERIBEGAVA-SALVANA 18:36
BANDARSERIBEGAVA-SAPORO 20:85
SARAGOSA-BANDARSERIBEGAVA 125:51
BANDARSERIBEGAVA-SENTLORENSA 17:33
SEVERNA-BANDARSERIBEGAVA 72:23
BANDARSERIBEGAVA-SIMFEROPOLE 81:105
SIRDARJA-BANDARSERIBEGAVA 109:82
BANDARSERIBEGAVA-SJERANEVADA 39:62
BANDARSERIBEGAVA-SKAGERAKS 60:102
SKIEMONE-BANDARSERIBEGAVA 137:0
SKIRSNEMUNE-BANDARSERIBEGAVA 133:79
BANDARSERIBEGAVA-SLOCENE 10:90
SMALINIEKI-BANDARSERIBEGAVA 69:14
BANDARSERIBEGAVA-SORBONNA 22:111
BANDARSERIBEGAVA-STARAPLANINA 64:120
STOKHOLMA-BANDARSERIBEGAVA 123:104
BANDARSERIBEGAVA-STOMBOLI 55:135
BANDARSERIBEGAVA-SUMATRA 105:124
BANDARSERIBEGAVA-TAGANROGA 28:91
BANDARSERIBEGAVA-TAIZEME 88:93
TAIMIRA-BANDARSERIBEGAVA 133:45
BANDARSERIBEGAVA-TAIVANA 13:44
BANDARSERIBEGAVA-TALLINA 21:92
TAMMERFORSA-BANDARSERIBEGAVA 28:18
BANDARSERIBEGAVA-TAMPERE 77:100
BANDARSERIBEGAVA-TANGANJIKA 34:51
TAURUPE-BANDARSERIBEGAVA 150:122
BANDARSERIBEGAVA-TERNOPOLE 39:130
TIRASPOLE-BANDARSERIBEGAVA 111:110
BANDARSERIBEGAVA-TJANDZINA 3:44
TOBAGO-BANDARSERIBEGAVA 127:13
TOLEDO-BANDARSERIBEGAVA 112:20
TOSMARE-BANDARSERIBEGAVA 111:60
BANDARSERIBEGAVA-TRAPENE 12:139
BANDARSERIBEGAVA-TURMANTA 109:118
UGUNSZEME-BANDARSERIBEGAVA 68:51
BANDARSERIBEGAVA-UKRAINA 71:114
BANDARSERIBEGAVA-USTRONE 91:96
VABALNINKA-BANDARSERIBEGAVA 121:36
BANDARSERIBEGAVA-VAIVARI 23:109
BANDARSERIBEGAVA-VALGUNDE 68:129
VALPARAISO-BANDARSERIBEGAVA 121:62
VARDURA-BANDARSERIBEGAVA 85:65
VECUMNIEKI-BANDARSERIBEGAVA 125:49
VENTSPILS-BANDARSERIBEGAVA 141:8
BANDARSERIBEGAVA-VERDENA 80:88
VERMONTA-BANDARSERIBEGAVA 48:30
BANDARSERIBEGAVA-VESTENDE 106:129
VESTLOTJANA-BANDARSERIBEGAVA 73:52
BANDARSERIBEGAVA-VETERNS 80:123
VIKTORIJA-BANDARSERIBEGAVA 134:87
VIRTENBERGA-BANDARSERIBEGAVA 57:52
BANDARSERIBEGAVA-VISKONSINA 47:108
VLADIMMIRA-BANDARSERIBEGAVA 127:126
TAIZEME-DOTMUNDA 10:0
NOVGORODA-KANNAS 100:0
LOTRINGA-SAIGONA 0:101
KATVARI-MELBURNA 103:0
BRAITONA-VETERNS 0:103
JANOPOLE-ZENTENE 0:103
MINDANAO-ZAMBEZI 0:106
SIRDARJA-HONIARA 0:106
POCIEMS-BANDUNGA 107:0
AMUDARJA-KURZEME 0:108
VETERNS-BRISTOLE 109:0
BELMANTA-ANADIRA 109:0
KROIDONA-UKRAINA 0:11
FLANDRIJA-SEVANS 111:0
JITLANDE-MBABANE 113:0
HAVANNA-REINJORA 115:0
TALLINA-STOMBOLI 115:0
KROIDONA-HARBINA 0:117
GUBERNIJA-SALDUS 117:0
JOKOHOMA-VETERNS 0:118
PASIENA-TURMANTA 121:0
TRAPENE-SORBONNA 122:0
CEILONA-ALEKSOTA 122:0
KRETINGA-ARAGONA 0:126
BELMANTA-PALERMO 0:127
VALGUNDE-CIECERE 128:0
KRETINGA-HAVANNA 0:13
USTRONE-GOTLANDE 0:132
NIKOPOLE-LIELUPE 135:0
TAURUPE-RADOPOLE 0:135
TAURUPE-SIRDARJA 139:0
AVINJONA-TAMPERE 14:0
BENDERI-ALEKSOTA 0:140
SIRDARJA-MAIKOPA 0:141
TURMANTA-TAIMIRA 142:0
GLAZGOVA-HERSONA 0:143
MALAIZIJA-KALJAO 145:0
MELARS-CINCINATI 0:145
BELMANTA-UKRAINA 0:147
RIODEORO-KONAKRI 18:0
SKAGERAKS-SEVANS 19:0
BAMAKO-MURMANSKA 0:20
TAIZEME-MANITOBA 20:0
MAKENZI-ALEKSOTA 20:0
KOSTARIKA-ALTAJS 21:0
BANGKOKA-IZMAIRA 26:0
KATMANDU-PALERMO 0:28
DOTMUNDA-MUKDENA 0:3
INSBURGA-BALDONE 0:3
KUNLUNS-EKVADORA 31:0
KANBERA-TURMANTA 0:32
HONIARA-AVINJONA 0:34
ZAMBEZI-FERMENTA 35:0
KATVARI-INSBURGA 0:37
KURZEME-GLAZGOVA 41:0
MALAIZIJA-CINDAO 46:0
BELMANTA-RAVENNA 0:46
MUKDENA-GOTLANDE 46:0
SKIEMONE-BEBRENE 0:47
HONIARA-DOTMUNDA 0:48
MANITOBA-TAIMIRA 48:0
GALIPOLE-RANGUNA 0:48
TALLINA-LITLROKA 50:0
KONAKRI-KAZDANGA 0:50
LAZDONA-BRISTOLE 51:0
LOKARNA-DOTMUNDA 51:0
CEILONA-RADOPOLE 54:0
GOTLANDE-LIELUPE 57:0
STOKHOLMA-MONAKO 0:59
MEHIKO-FLANDRIJA 59:0
SALDUS-CINCINATI 0:59
HONIARA-PEREKOPS 0:61
LIELUPE-TURMANTA 0:64
BANGKOKA-RAUDONE 0:66
RANGUNA-BALATONS 67:0
MEHIKO-TJANDZINA 0:69
MINDANAO-HAVANNA 0:69
KOSTROMA-PEDEDZE 0:71
KAJENNA-KOSTROMA 72:0
KATMANDU-DUBLINA 0:72
BENGAZI-GALIPOLE 73:0
VALGUNDE-KANBERA 73:0
PILZENE-JURBARKA 74:0
MELNUPE-JOKOHOMA 0:77
NANKINA-VERMONTA 78:0
GLAZGOVA-POCIEMS 0:84
KATVARI-LISABONA 0:84
CIECERE-KAZDANGA 0:86
LAUDERI-REINJORA 0:9
GLAZGOVA-KANTONA 0:9
HAIFONA-FLORENCE 9:0
KAZDANGA-HOPJORA 9:0
PEREKOPS-MELNUPE 92:0
HAIFONA-BANDUNGA 93:0
CIECERE-BANDUNGA 0:93
ALEKSOTA-MADEIRA 94:0
FERMENTA-MINHENE 0:95
LOZANNA-BANGKOKA 95:0
SAIGONA-RIODEORO 95:0
HUDZONA-VALGUNDE 97:0
RANGUNA-KATMANDU 99:0
LONDONA-DINKERSA 10:1
SORBONNA-LIELUPE 103:1
LIVORNA-KRETINGA 105:1
VERMONTA-ABADANA 1:106
MEISENE-VALGUNDE 1:106
TRAPENE-KATMANDU 1:108
KALABRIJA-CINDAO 1:109
PALEMONA-VAIVARI 11:1
GABORONE-ARIZONA 1:11
INESIS-MALAIZIJA 1:110
BRAITONA-VARDURA 111:1
TAIZEME-KRETINGA 113:1
SAIGONA-SORBONNA 114:1
BENGAZI-LISABONA 118:1
GALIPOLE-LUCERNA 1:119
LIVORNA-GLAZGOVA 121:1
HAVANNA-HAMBURGA 122:1
BALATONS-HAVANNA 1:123
KONAKRI-SARAGOSA 1:124
STOMBOLI-BERGENA 1:129
ALEKSOTA-GULBENE 1:130
DAIVANA-PALEMONA 132:1
BERGENA-KROIDONA 134:1
SKIEMONE-USTRONE 1:134
BILBAO-TIRASPOLE 134:1
BALTEZERS-BORNEO 134:1
ARAGONA-AMUDARJA 135:1
PALEMONA-TAIZEME 1:136
LOTRINGA-PILTENE 1:139
TURMANTA-MAKENZI 1:14
OKSFORDA-NIAGARA 1:143
BELMANTA-BOSTONA 1:146
MINESOTA-VETERNS 1:15
EGLAINE-VESTENDE 1:150
LISABONA-AMAZONE 1:17
HAMBURGA-KALTENE 1:17
OGLAINE-KAZDANGA 18:1
DEMOINA-PEREKOPS 20:1
ANADIRA-PALEMONA 1:20
BALATONS-HERSONA 1:23
AMAZONE-MANITOBA 27:1
PUMPENI-RIODEORO 33:1
PELTES-SALASPILS 1:33
VESTENDE-MAKENZI 1:35
AMAZONE-KOSTROMA 36:1
MINESOTA-MINHENE 1:37
LONDONA-HELSINKI 38:1
RADOPOLE-LOZANNA 1:4
PASIENA-GALIPOLE 4:1
HONKONGA-CIECERE 42:1
KAZDANGA-ARAGONA 1:43
RADOPOLE-ZENTENE 1:45
JURBARKA-USTRONE 1:45
BELGORODA-MEHIKO 1:46
VARDURA-FERMENTA 1:46
KOSTROMA-VARDURA 48:1
PEREKOPS-ARIZONA 1:49
KUNLUNS-KEMEROVA 50:1
ALEKSOTA-SALVANA 1:50
TAURUPE-LITLROKA 1:50
HUDZONA-SORBONNA 50:1
STOMBOLI-KAPZEME 1:51
KATMANDU-MUKDENA 1:51
BOSFORS-ALEKSOTA 1:51
ELTONS-SKAGERAKS 1:51
STOKHOLMA-SAMAVS 52:1
JURBARKA-ARAGONA 1:52
SAIGONA-DINKERSA 53:1
DINKERSA-HAVANNA 1:56
KATVARI-DINKERSA 56:1
AMUDARJA-TAIMIRA 1:59
LITLROKA-PLATONE 1:63
NIKOPOLE-TAIZEME 1:66
ARIZONA-SKIEMONE 67:1
KATMANDU-HONIARA 68:1
OLSTERA-KAZDANGA 1:69
KATMANDU-MERGUPE 70:1
PELTES-MARIANNAS 1:70
VARDURA-HAMBURGA 71:1
TOBAGO-STOKHOLMA 72:1
BERGENA-PEREKOPS 72:1
PALEMONA-MERGUPE 73:1
MINDANAO-IZMAIRA 75:1
LIVORNA-HONKONGA 75:1
BABRUNGA-ALUKSNE 1:79
BRAITONA-TAIVANA 1:79
KRETINGA-SLOCENE 1:8
TAURUPE-STOMBOLI 1:8
LOTRINGA-PUMPENI 81:1
MAKENZI-LABANOVA 83:1
ANADIRA-AMUDARJA 85:1
TAIVANA-ALEKSOTA 86:1
ALUKSNE-BRISTOLE 9:1
SARAGOSA-OGLAINE 1:91
RAUDONE-BRAITONA 92:1
FERMENTA-LAUTERE 92:1
KALJAO-GUBERNIJA 1:97
DEMOINA-GLAZGOVA 97:1
TALLINA-AVINJONA 97:1
EGLAINE-MINDANAO 1:97
SKAGERAKS-SAMAVS 98:1
STOMBOLI-SLOCENE 1:98
TERNOPOLE-ELTONS 100:10
SIRDARJA-KANTONA 10:101
KEMEROVA-KANTONA 10:102
BEBRENE-LISABONA 104:10
JITLANDE-LOKARNA 10:105
UKRAINA-BALATONS 114:10
SALVANA-NIKOPOLE 114:10
ZAMBEZI-KORNVOLA 115:10
LABANOVA-ANADIRA 115:10
SAMAVS-MARTINIKA 10:118
GARONNA-MALJORKA 118:10
BRAITONA-OGLAINE 10:12
TAIVANA-SKIEMONE 120:10
PALERMO-DOTMUNDA 120:10
VENERS-PORTONOVA 10:120
VETERNS-ALEKSOTA 121:10
HOPJORA-KEMEROVA 10:122
UKRAINA-INSBURGA 124:10
GLAZGOVA-TALLINA 10:129
VALGUNDE-MUKDENA 10:13
BELMANTA-POCIEMS 10:13
RIODEORO-KANTONA 10:130
BALDONE-REINJORA 137:10
LIELUPE-PEREKOPS 10:139
DURBANA-KATMANDU 140:10
PORTONOVA-BILBAO 144:10
LISABONA-SUMATRA 145:10
LISABONA-DAIVANA 10:145
SORBONNA-AMAZONE 10:147
DINKERSA-TAURUPE 10:150
BUFALO-SKAGERAKS 150:10
HELSINKI-ARIZONA 10:17
ALUKSNE-BANGKOKA 18:10
SEVANS-KALVARIJA 10:18
MINHENE-REINJORA 20:10
UGUNSZEME-TOBAGO 21:10
SAMAVS-KALVARIJA 10:22
ABADANA-DINKERSA 24:10
GOTLANDE-HARBINA 10:24
KAPZEME-BRISTOLE 26:10
OKSFORDA-RAVENNA 10:27
KORNVOLA-BENGAZI 10:27
HUDZONA-HELSINKI 28:10
ZAMBEZI-SARAGOSA 28:10
PEREKOPS-KUNLUNS 10:28
HELSINKI-AMAZONE 10:29
GALIPOLE-DURBANA 10:29
KAZDANGA-TAMPERE 30:10
KORNVOLA-RANGUNA 10:31
BENGAZI-SIRDARJA 32:10
KAPZEME-KOSTROMA 33:10
DINKERSA-OREGONA 10:34
EKVADORA-BOSFORS 35:10
RIODEORO-MUKDENA 10:36
FLORENCE-SALIENA 10:36
KANBERA-GLAZGOVA 10:41
FLORENCE-ARAGONA 10:43
DENKERKA-ALUKSNE 10:47
ANADIRA-KRETINGA 10:48
RAVENNA-SIESARTE 52:10
HAMBURGA-RAUDONE 10:54
HONKONGA-TOSMARE 54:10
BABRUNGA-TOSMARE 57:10
DEMOINA-AVINJONA 57:10
OKSFORDA-RANGUNA 10:59
ATLASS-TAGANROGA 10:60
INVERNESA-MALABO 64:10
LONDONA-SIRDARJA 64:10
MERGUPE-JOKOHOMA 10:65
HOPJORA-EKVADORA 10:66
KILKENIJA-OLIMPS 66:10
KOSTROMA-ZENTENE 10:66
TAGANROGA-MEHIKO 10:67
GUBERNIJA-BORNEO 70:10
SALVANA-KORNVOLA 72:10
NANKINA-OKSFORDA 72:10
BORNEO-MALAIZIJA 10:74
OGLAINE-MINESOTA 74:10
BRISTOLE-TAIVANA 10:76
PLATONE-TURMANTA 76:10
HAMBURGA-ARAGONA 10:79
LABANOVA-MADEIRA 80:10
CINDAO-BREDFORDA 80:10
KALTENE-GLAZGOVA 80:10
LIELUPE-VERMONTA 10:83
JURBARKA-BENDERI 10:84
KAJENNA-KAZDANGA 84:10
MERGUPE-OKLAHOMA 10:89
HONKONGA-KALTENE 10:94
SEVERNA-GLAZGOVA 94:10
SKIEMONE-TOSMARE 95:10
SAIGONA-BABRUNGA 97:10
LOZANNA-GLAZGOVA 101:100
MAIKOPA-LISABONA 100:102
ABAKANA-BABRUNGA 103:100
VARDURA-SIRDARJA 106:100
TAURUPE-KAZDANGA 100:107
BALATONS-TOSMARE 109:100
SARAGOSA-KAPZEME 100:110
SEVERNA-KZILORDA 112:100
OKSFORDA-MUKDENA 100:115
LOKARNA-VESTENDE 119:100
LOKARNA-HAMBURGA 119:100
MELNUPE-MELBURNA 119:100
BANGKOKA-KALTENE 100:119
KAPZEME-OKLAHOMA 121:100
