300
NIKOSINA-PAKROJA 0:101
IGNALINA-MAKENZI 0:102
BRAZILJA-GORKIJA 0:103
JAKUTIJA-SILMALA 0:106
MAUNALOA-RUMBULA 0:108
NOTINGEMA-KIGALI 0:109
MAFEKINGA-KAMAJI 0:112
ISIKULS-ARMAVIRA 0:113
LAZDIJI-TENESIJA 0:115
RUDAMINA-RANGUNA 0:117
TAURAGNI-SALVANA 0:118
RUDAMINA-ROSTOKA 0:12
MISISIPI-GORKIJA 0:122
SALONIKI-BRISELE 0:124
NEAPOLE-DETROITA 0:124
SLOVAKIJA-KIGALI 0:124
BOSTONA-RUDAMINA 0:125
IGNALINA-KARTENA 0:131
OZOLAINE-SEVILJA 0:132
MAJORKA-MELNSILS 0:132
SAFOLKA-BEREZINA 0:133
ADELAIDA-ZAMBIJA 0:134
SUDETI-TJANDZINA 0:137
OGRESGALS-MALAVI 0:139
VIETALVA-PAKROJA 0:145
ARKANZASA-RODOPI 0:16
BOMBEJA-ADELAIDA 0:17
UDMRTIJA-KAZBEKS 0:21
SEVERNA-KARLAILA 0:25
KRIEVIJA-KANTONA 0:26
SAULAINE-PALERMO 0:26
KAMPALA-LUISVILA 0:27
AMERIKA-KRIMULDA 0:29
AIZVOLGA-LIVORNA 0:33
DAMASKA-RIONEGRO 0:38
VECUMI-KALNCIEMS 0:39
SERPUHOVA-VANAGI 0:41
OZOLAINE-TOBRUKA 0:43
VATERLO-GARKALNE 0:43
BALTIMORA-RIMINI 0:44
UDMRTIJA-PERLOJA 0:46
MELNSILS-POLOCKA 0:49
HUDZONA-TENERIFE 0:51
AIZVOLGA-JERSIKA 0:60
VIDZEME-IGAUNIJA 0:61
BRRONKSA-JERSIKA 0:61
ROZALIMA-LATGALE 0:62
MISISIPI-LATGALE 0:62
MORONI-VECBILSKA 0:63
JAUNPILS-PITRAGS 0:64
KURZEME-MAUNALOA 0:71
ETIOPIJA-RANGUNA 0:72
KAMBIJA-KARLAILA 0:72
RIONEGRO-LATVIJA 0:73
KRIEVIJA-INDRAJI 0:8
TUNISIJA-POCIEMS 0:85
ARKTIKA-IGAUNIJA 0:86
DETROITA-MIRNIJA 0:86
BRUNEJA-FRANCIJA 0:91
MANHEIMA-BRATSKA 0:91
PLOVDIVA-BALTIJA 0:92
ETIOPIJA-HARTUMA 0:93
BAHREINA-MILVOKI 0:95
MAJORKA-GROZNIJA 0:97
NIAMEJA-JAKUTIJA 1:10
LIVORNA-TENESIJA 1:10
DETROITA-RANGUNA 1:100
MIRNIJA-AIZVOLGA 1:100
CEILONA-PIEVOLGA 1:104
OZOLAINE-CEILONA 1:105
MEKSIKA-MELNSILS 1:105
DOMINIKA-ARIZONA 1:108
PIEVOLGA-SIDNEJA 1:109
BRRONKSA-TOTNEMA 1:11
UZBEKIJA-SALIENA 1:113
VERSEKA-LILONGVE 1:113
MENORKA-MELNSILS 1:116
DAIVANA-RUDAMINA 1:117
GVINEJA-FRANCIJA 1:124
PALERMO-BRRONKSA 1:124
LATVIJA-ILINOISA 1:127
LAPZEME-GARKALNE 1:13
DOMINIKA-BALTIJA 1:131
LUISVILA-NEAPOLE 1:136
SIDNEJA-ROZALIMA 1:139
TENESIJA-KAPZEME 1:139
RANGUNA-ROZALIMA 1:14
KATOVICE-SILMALA 1:142
KATOVICE-MENORKA 1:142
PLOVDIVA-SALIENA 1:143
TENERIFE-ANGLIJA 1:149
MAJORI-GVAJAKILA 1:150
RODOPI-OZOLNIEKI 1:150
RAGACIEMS-DRUSTI 1:16
VATERLO-BRUKLINA 1:17
MENORKA-LILONGVE 1:17
KARLAILA-LONDONA 1:22
GROZNIJA-TAIVANA 1:3
TENERIFE-NIAMEJA 1:3
DURBANA-KRIEVIJA 1:30
RAVENNA-RUDAMINA 1:34
GVATEMALA-BIKINI 1:34
VILGALE-LILONGVE 1:38
BRISELE-BAHREINA 1:39
MENORKA-ARMAVIRA 1:39
SIDNEJA-ETIOPIJA 1:4
LUCERNA-TELAVIVA 1:40
SALONIKI-LIVORNA 1:45
LOZANNA-NIKOSINA 1:48
MAJAMI-MONGOLIJA 1:51
LIVORNA-TELAVIVA 1:55
UZBEKIJA-KAPSUKA 1:61
ROSTOKA-PIEVOLGA 1:63
PALERMO-SALONIKI 1:72
IGAUNIJA-GVINEJA 1:74
PASIENA-BRRONKSA 1:74
IGNALINA-ZAMBEZI 1:77
POLOCKA-MAUNALOA 1:83
BEREZINA-ABAKANA 1:84
KVEBEKA-GARKALNE 1:86
PEDEDZE-TAURAGNI 1:93
KIGALI-FUDZIJAMA 1:96
TENERIFE-ISIKULS 10:102
KURZEME-BRAZILJA 10:105
TUNISIJA-HUDZONA 10:106
HIROSIMA-ZAMBIJA 10:107
IGNALINA-GRUZIJA 10:115
NAHODKA-ADELAIDA 10:116
ZAMBIJA-JAKUTIJA 10:117
KAIBALA-FRANCIJA 10:117
OZOLAINE-DEMOINA 10:126
POCIEMS-LEIPCIGA 10:126
PASIENA-KATOVICE 10:127
BRATSKA-RUDAMINA 10:132
PEDEDZE-AIZVOLGA 10:136
KARMELITI-PRIENI 10:139
TAIVANA-BAHREINA 10:140
SEVERNA-GARKALNE 10:15
SKOTIJA-BRRONKSA 10:16
PLOVDIVA-PAKROJA 10:17
PUIKULE-ARMAVIRA 10:24
UZBEKIJA-NAHODKA 10:28
IGAUNIJA-VATERLO 10:29
BERGENA-HIROSIMA 10:32
PALERMO-JAKUTIJA 10:33
LILONGVE-ZEMGALE 10:40
PRIENI-GVADELUPE 10:41
KARTENA-BRUKLINA 10:46
MUKDENA-AIZVOLGA 10:47
VERSEKA-HIROSIMA 10:48
AUSTRIJA-ISIKULS 10:49
BURTNIEKI-RODOPI 10:52
KVEBEKA-ROZALIMA 10:53
PIEVOLGA-SEVERNA 10:54
GARKALNE-PALERMO 10:60
RAVENNA-RIONEGRO 10:62
ETIOPIJA-PENKULE 10:66
KAIBALA-TAURAGNI 10:69
JAMAIKA-IGNALINA 10:69
NANKINA-BRRONKSA 10:70
TURCIJA-TENERIFE 10:77
DRUSTI-GVAJAKILA 10:81
JAKUTIJA-KAJENNA 10:87
KAMBIJA-TAURAGNI 10:88
VIDAUJA-ROZALIMA 10:88
NEAPOLE-KARLAILA 10:9
JAUNPILS-ARIZONA 10:90
SEIRIJI-TENERIFE 10:93
SEIRIJI-GROZNIJA 10:94
ROZALIMA-SAFOLKA 10:99
JAMAIKA-PLOVDIVA 100:0
SALONIKI-MARVELE 100:0
