100
SINSITIJA-LIZUMS 0:122
VAGADUGU-KARPATI 0:144
SARANSKA-ENGELSA 0:27
EIFRATA-BRJANSKA 0:74
VALENSIJA-LIZUMS 0:82
KAUNATA-EVERESTS 0:85
HOLIVUDA-VAINUTA 0:93
EIFRATA-EVERESTS 1:107
AIZPUTE-KRAKATAU 1:49
VAINUTA-LUGANSKA 1:60
TRIESTE-KIROVSKA 1:83
DONBASS-IRKUTSKA 1:83
SALANTA-NEBRASKA 20:105
SENTLUISA-ALATAU 10:118
BEIRUTA-ANGARSKA 10:68
KUZBASS-LUGANSKA 100:111
PEIPUSS-IRKUTSKA 100:32
HOLIVUDA-MANAUSA 100:33
KUVEITA-ALAUKSTS 100:40
JAKUTSKA-SANHOSE 100:51
TRIESTE-EVERESTS 100:64
KAUNATA-SARANSKA 100:69
TRIESTE-BELFASTA 100:80
VORKUTA-SARANSKA 100:80
ALATAU-MANHATANA 101:11
TOLJATI-VADAKSTE 101:17
SALANTA-LUGANSKA 101:4
TOLJATI-BRJANSKA 101:67
ALATAU-MORICSALA 102:110
EVERESTS-TEKSASA 102:148
KIROVSKA-MANAUSA 102:27
KRAKATAU-DONBASS 102:78
NEBRASKA-TBILISI 102:89
FEODOSIJA-LIZUMS 103:101
VAGADUGU-VORKUTA 103:118
PLIMUTA-JAKUTSKA 103:15
KRAKATAU-KANZASA 103:17
KUVEITA-SARANSKA 103:2
HOLIVUDA-KINROSA 103:23
VAGADUGU-SANHOSE 103:84
DORSETA-ALAUKSTS 104:30
ATLANTA-KAVARSKA 104:36
KARPATI-EVERESTS 104:44
KULAUTUVA-VEZUVS 104:47
BELFASTA-TBILISI 105:140
PRIPETE-KAVARSKA 105:30
ALATAU-MENHETENA 105:35
VAINUTA-KAHOVSKA 105:41
KRAKATAU-VAINUTA 105:60
KULAUTUVA-TUKUMS 105:72
TOLJATI-ANGARSKA 105:74
HOLIVUDA-MADRASA 105:87
TRIESTE-JAKUTSKA 106:103
TARENTO-KIROVSKA 106:132
SOMERSETA-TUKUMS 106:134
BELFASTA-BEBRUSI 106:62
SOVETSKA-KINROSA 106:87
KRAKATAU-TAUNUSA 107:1
BELFASTA-KINROSA 107:100
SINSITIJA-TUKUMS 107:114
ALAUKSTS-ENGELSA 107:89
DUBULTI-ALAUKSTS 107:93
MAPUTU-SOMERSETA 108:142
HOLIVUDA-DORSETA 108:148
KRAKATAU-SASEKSA 108:149
JAKUTSKA-BEBRUSI 108:51
KRAKATAU-VORKUTA 108:52
PLIMUTA-BRJANSKA 108:77
MACESTA-KAVARSKA 109:101
SOVETSKA-TBILISI 109:129
VAGADUGU-BEBRUSI 109:137
BELFASTA-SANHOSE 109:69
ERFURTE-ANGARSKA 109:88
HOLIVUDA-MACESTA 11:107
KRAKATAU-KUTAISI 11:29
PRIPETE-SARANSKA 11:31
ATLANTA-JAKUTSKA 11:44
BELFASTA-KUTAISI 11:88
DORSETA-SOVETSKA 110:103
